   [paribhāṣā]	[pariBAzA]
   Lil_1a/ prītim bhakta-janasya yas @janayate vighnam vinighnan smṛtas tam	Lit-_1a/ prItim Bakta---janasya yaH @janayate viGnam viniGnan smRtaH tam
   vṛndāraka-vṛnda-vandita-padam @natvā mataṅga-ānanam/	vRndAraka-vRnda--vandita-padam @natvA mataFga-a-Ananam/
   Lil_1c/ pāṭīm sat-gaṇitasya @vacmi catura-prīti-pradām prasphuṭām	Lit-_1c/ pAwIm sat--gaNitasya @vacmi catura--prIti-pradAm prasPuwAm
   saṃkṣipta-akṣara-komala-amala-padais lālitya-līlāvatīm//[śārdūlavikrīḍita]	saMkzipta--akzara--komala-a-mala--padEH lAlitya--lIlAvatIm//[-SArdUla-vikrIxita]
   Lil_2a/ varāṭakānām %daśaka-%dvayam 20 yad sā kākiṇī tās ca paṇas	Lit-_2a/ varAwakAnAm %daSaka-%-dvayam 20 yat sA kAkiNI tAH ca paNas
   %catasras/	%catasras/
   Lil_2c/ te %ṣoḍaśa drammas iha avagamyas drammais tathā %ṣoḍaśabhis ca	Lit-_2c/ te %zoxaSa drammaH iha avagamyaH drammEH taTA %zoxaSaBiH ca
   niṣkas//[upajāti]	nizka-s//[upajAti]
   Lil_3a/ tulyā yavābhyām kathitā atra guñjā vallas %tri-guñjas dharaṇam ca	Lit-_3a/ tulyA yavAByAm kaTitAH atra guQjA vallaH %tri-guQjaH DaraNam ca
   te %aṣṭau/	te %azwO/
   Lil_3c/ gadyāṇakas tad-%dvayam #indra-14-tulyais vallais tathā %ekas	Lit-_3c/ gadyANakaH tat--%dvayam #indra--14--tulyEH vallEH taTA %ekas
   ghaṭakas pradiṣṭas//[indravajrā]	GawakaH pradizwa-s//[indra-vajrA]
   Lil_4a/ %daśa-%ardha-guñjam @pravadanti māṣam māṣa-āhvayais %ṣoḍaśabhis ca	Lit-_4a/ %da-Sa-%arDa---guQjam @pravadanti mAzam mAza-AhvayEH %zoxaSaBiH ca
   karṣam/	karzam/
   Lil_4c/ karṣais %caturbhis ca palam tulā-jñāḥ karṣam suvarṇasya	Lit-_4c/ karzEH %caturBiH ca palam tulA--jQAH karzam suvarNasya
   suvarṇa-saṃjñam//[upajāti]	suvarNa--saMjQam-//[upajAti]
   Lil_5a/ yava-udarais aṅgulam %aṣṭa-saṃkhyais hastas aṅgulais %ṣaṣ-guṇitais	Lit-_5a/ yava-udarEH aFgulam %azwa--saMKyEH hastaH aFgulEH %zaz--guNitEH-
   %caturbhis/[āpaṭe: aguṅlam < aṅgulam]	%caturBi-s/[A-pawe: aguFlam < aFgulam]
   Lil_5c/ hastais %caturbhis @bhavati iha daṇḍas krośas %sahasra-%dvitayena	Lit-_5c/ hastEH %caturBiH @Bavati iha daNxaH kroSaH %sahasra-%-dvitayena
   teṣām//[upajāti]	tezAm-//[upajAti]
   Lil_6a/ @syāt yojanam krośa-%catuṣṭayena tathā karāṇām %daśakena vaṃśas/	Lit-_6a/ @syAt yojanam kroSa-%-catuzwayena taTA karANAm %daSakena vaMSa-s/
   Lil_6c/ nivartanam %viṃśati-vaṃśa-saṃkhyais kṣetram %caturbhis ca bhujais	Lit-_6c/ nivartanam %viMSati--vaMSa--saMKyEH kzetram %caturBiH ca BujEH-
   nibaddham//[upajāti]	nibadDa-m-//[upajAti]
   Lil_7a/ hasta-unmitais vistṛti-dairghya-piṇḍais yat %dvādaśa-asram	Lit-_7a/ hasta-unmitEH vistRti-dErGya--piNxEH yat %dvAdaSa--asram
